lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E07000096,38,7.22,0.78,1.47,31.57,58.68,9.75,6.49,57.9,9.87,2.27,2.25,2.44,0.72,95.45,6.4,73.28,6.44,3.59,1.85,14.85,8.89,8.09,41.47,27.06,55.08,10.38,27.04,137799,0.2,70.7,0.76,0.45,1.23,18.36,70.18,5.59,22.66,3.57,72.21,9.72,9.85,1.84,1
E07000098,38,7.04,0.86,1.51,31.61,57.64,10.76,9.34,54.6,11.84,2.46,2.33,4.01,1.4,92.51,6.62,73.19,6.66,3.41,1.99,15,7.76,9.22,39.94,27.24,53.62,10.01,27.86,94450,0.32,63.04,2,11.34,1.35,13.36,74.3,6.57,15.89,4.64,69.34,8.09,10.59,4.2,1
E07000099,38,7.16,0.8,1.51,29.99,61.4,8.61,3.11,58.45,9.55,2.4,2.11,3.87,1.3,93.21,6.7,72.13,6.81,3.21,1.85,14.19,8.85,7.86,39.96,28.92,54.82,10.02,27.02,116908,0.27,69.76,0.65,0.22,0.73,18.7,68.05,8.02,21.87,2.85,66.44,11.83,12.16,2.09,1
E07000102,39,7.59,0.83,1.39,30.93,58.6,10.47,9.33,55.42,11.2,2.17,2.15,5.14,1,92.35,6.49,73.58,6.64,3.74,2,15.26,8.14,8.07,41.22,26.83,55.78,9.23,26.52,82848,0.21,70.83,2.59,2.08,1.53,14.88,76.78,5.67,15.79,2.16,69.34,7.88,13.53,3.75,1
E07000103,35,6.19,0.88,1.55,30.1,60.09,9.81,37.21,60.54,8.56,2.72,2.48,8.78,2.66,85.95,6.85,72.57,5.65,3.16,1.71,12.83,10.51,8.37,35.92,29.66,48.46,10.09,34.38,79726,0.33,66.45,1.73,1.12,6.11,16.1,72.39,9.72,16.15,5.66,66.75,11.71,6.6,5.54,1
E07000105,38,6.79,0.85,1.81,31.26,59.86,8.88,1.77,54.33,10.46,2.34,2.41,0.93,0.43,97.56,7.24,70.2,7.23,3.33,1.85,16.39,9.66,7.74,41.52,24.9,56.2,10.7,25,102661,0.17,76.45,0.26,0.12,0.56,14.63,74.26,7.33,15.67,3.21,68.8,9.6,12.02,1.97,1
E07000106,39,6.96,0.94,1.99,26.73,65.41,7.86,4.38,46.71,8.69,4.16,2.69,1.45,0.45,96.62,8.85,67.56,8.13,3.78,2.79,14.64,7.94,8.43,34.29,29.87,48.92,10.33,31.55,135278,0.38,73.28,0.38,0.16,0.64,16.66,72.05,12.93,12.4,3.96,64.01,14.67,10.14,2.05,1
E07000107,36,6.46,0.85,1.71,31.07,59.02,9.91,11.81,58.35,7.78,2.15,2.54,3.18,0.88,94.5,7.35,70.37,6.21,2.48,1.42,13.72,10.86,9.01,38.86,27.99,52.33,10.77,29.37,85911,0.24,73.28,0.76,0.07,0.69,15.05,73.76,8.02,16.21,7.65,71.84,6.86,6.53,3.86,1
E07000108,40,7.02,1.04,2.26,28.54,62.6,8.85,3.32,51.32,8.05,1.92,3.29,0.6,0.18,98.52,9.46,66.38,6.84,3.59,1.79,15.46,8.08,9.86,36.56,30.27,52.74,11.77,25.67,104566,0.17,76.6,0.15,0.07,0.29,14.18,71.38,10.49,15.34,4.16,67.17,12.37,8.66,1.85,1
E07000109,37,6.62,0.98,1.85,31.91,57.31,10.78,9.67,54.2,7.92,2.17,3.48,8.57,0.64,89.53,7.81,69.38,6.95,2.64,1.66,15.21,8.9,8.79,39.93,27.18,54.63,10.56,26.46,95717,0.25,72.3,0.63,0.06,0.8,12.02,71.26,7.59,18.7,5.16,65.05,11.68,12.26,2.29,1
E07000110,39,7.17,0.78,1.62,30.04,59.78,10.18,3.53,56.54,9.75,2.36,2.19,1.36,0.3,97.35,6.95,71.2,7.06,3.23,1.97,16.23,8.85,7.75,42.74,25.83,55.9,10.15,26.26,138948,0.23,76.31,0.48,0.12,0.53,14.33,77.26,7.65,12.59,4.57,70.35,10.35,10.04,1.91,1
E07000111,41,7.71,0.76,1.49,30.08,59.36,10.56,2.96,52.73,11.84,1.93,1.93,0.83,0.24,97.96,6.55,72.92,7.51,3.62,1.96,16.61,7.58,7.46,43.72,26.05,58.26,9.31,24.07,109305,0.2,77.02,0.2,0.15,0.34,14.43,75.88,6.69,13.76,1.54,70.07,8.62,13.83,3.2,1
E07000112,41,7.16,1.04,2.2,27.77,63.91,8.31,2.7,50.95,9.11,2.1,3.37,1.64,0.21,97.29,9.38,66.08,6.94,3.26,1.96,14.42,8.38,9.19,34.87,30.7,52.55,11.87,25.6,96238,0.22,75.43,1.04,0.11,0.35,14.63,72.41,13.21,12.18,3.91,65.79,13.75,11.19,1,1
E07000113,37,6.05,0.94,2.25,31.86,58.5,9.64,3.29,52.95,8.68,1.99,3.52,0.76,0.33,98.14,8.23,68.28,7.23,2.93,1.78,16.08,10.17,8.94,40.23,26.33,53.61,11.59,26.74,122801,0.13,75.89,0.2,0.08,0.36,15.38,73.41,9.02,15.33,1.85,66.18,12.78,11.08,2.76,1
E07000114,41,6.72,1.18,2.68,27.25,64.83,7.92,12.26,46.46,8.46,2.17,4.41,0.91,0.34,97.69,11.15,63.19,6.68,3.25,1.95,13.57,7.91,10.55,30.54,33.82,48.98,13.48,26.41,126702,0.27,73.58,0.19,0.24,0.49,15.86,70.08,14.51,13.29,4.92,61.32,15,10.77,1.36,1
